X,Y,OBJECTID,ID,MONTH,CRIME_CATEGORY,LOCATION_TYPE,LOCATION_SUBTYPE,LONGITUDE,LATITUDE,STREET_ID,STREET_NAME,OUTCOME_CATEGORY,OUTCOME_DATE
358825.1411,173517.153999999,5351,120048420,2024-07,violent-crime,Force,,-2.594036,51.459122,2278762,On or near Whitson Street,Under investigation,2024-07
363962.0386,174500.209100001,5352,120048193,2024-07,violent-crime,Force,,-2.520202,51.468312,2283134,On or near Prospect Avenue,Formal action is not in the public interest,2024-07
362370.0337,173833.204,5353,120048199,2024-07,violent-crime,Force,,-2.543048,51.462211,2281964,On or near Park Avenue,Under investigation,2024-07
358774.1102,177639.119200001,5354,120048201,2024-07,violent-crime,Force,,-2.595253,51.496179,2278637,On or near Longford Avenue,Under investigation,2024-07
358232.0817,168764.1708,5355,120048205,2024-07,violent-crime,Force,,-2.602009,51.416344,2278074,On or near Shopping Area,Under investigation,2024-07
359689.1239,173176.107899999,5356,120048214,2024-07,violent-crime,Force,,-2.581562,51.456118,2279544,On or near Old Market Street,Under investigation,2024-07
359689.1239,173176.107899999,5357,120048215,2024-07,violent-crime,Force,,-2.581562,51.456118,2279544,On or near Old Market Street,Under investigation,2024-07
358111.1485,172090.187799999,5358,120047920,2024-07,violent-crime,Force,,-2.604143,51.446239,2278093,On or near Coronation Road,"Investigation complete; no suspect identified",2024-07
358111.1485,172090.187799999,5359,120047924,2024-07,violent-crime,Force,,-2.604143,51.446239,2278093,On or near Coronation Road,Under investigation,2024-07
358837.1372,175693.0902,5360,120047930,2024-07,violent-crime,Force,,-2.594118,51.478687,2278684,On or near Monmouth Road,Under investigation,2024-07
361119.0368,168471.274700001,5361,120047931,2024-07,violent-crime,Force,,-2.560464,51.413916,2280872,On or near Manor House Lane,Under investigation,2024-07
358736.187,171809.2291,5362,120047937,2024-07,violent-crime,Force,,-2.595117,51.443759,2278612,On or near Supermarket,Under investigation,2024-07
356888.1917,168304.195,5363,120047938,2024-07,violent-crime,Force,,-2.621278,51.412107,2276949,On or near Bishops Cove,Under investigation,2024-07
360999.0882,176681.1271,5364,120047953,2024-07,violent-crime,Force,,-2.563097,51.487724,2280747,On or near Mulready Close,Under investigation,2024-07
361573.0129,169193.1995,5365,120047958,2024-07,violent-crime,Force,,-2.554015,51.420438,2281257,On or near Fontmell Court,Unable to prosecute suspect,2024-07
353987.2557,177832.140900001,5366,120047959,2024-07,violent-crime,Force,,-2.664230,51.497544,2275286,On or near Moor Grove,Under investigation,2024-07
358386.1841,171321.236500001,5367,120047968,2024-07,violent-crime,Force,,-2.600096,51.439346,2278343,On or near Parking Area,Under investigation,2024-07
358673.1188,172962.192199999,5368,120047978,2024-07,violent-crime,Force,,-2.596159,51.454121,2278586,On or near St Stephen's Avenue,Unable to prosecute suspect,2024-07
359863.0963,174230.0692,5369,120047844,2024-07,violent-crime,Force,,-2.579178,51.465607,2279675,On or near Badminton Road,Under investigation,2024-07
362531.9829,173589.2151,5370,120047848,2024-07,violent-crime,Force,,-2.540691,51.460028,2282111,On or near Harveys Lane,Under investigation,2024-07
